Artist Name,Artist Slug,Death Year,Artwork Title,Artwork Slug,WikiArt URL,Image URL,Museum Location,Notes
"Claude Monet",claude-monet,1926,"View Of Bordighera",view-of-bordighera-1884,https://www.wikiart.org/en/claude-monet/view-of-bordighera-1884,https://uploads2.wikiart.org/images/claude-monet/view-of-bordighera-1884.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"Bordighera",bordighera,https://www.wikiart.org/en/claude-monet/bordighera,https://uploads2.wikiart.org/images/claude-monet/bordighera.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"Bordighera, Italy",bordighera-italy,https://www.wikiart.org/en/claude-monet/bordighera-italy,https://uploads2.wikiart.org/images/claude-monet/bordighera-italy.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"Bordighera, the House of Gardener",bordighera-the-house-of-gardener,https://www.wikiart.org/en/claude-monet/bordighera-the-house-of-gardener,https://uploads2.wikiart.org/images/claude-monet/bordighera-the-house-of-gardener.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"Burgo Marina at Bordighera",burgo-marina-at-bordighera,https://www.wikiart.org/en/claude-monet/burgo-marina-at-bordighera,https://uploads2.wikiart.org/images/claude-monet/burgo-marina-at-bordighera.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"Garden in Bordighera, Impression of Morning",garden-in-bordighera-impression-of-morning-1884,https://www.wikiart.org/en/claude-monet/garden-in-bordighera-impression-of-morning-1884,https://uploads2.wikiart.org/images/claude-monet/garden-in-bordighera-impression-of-morning-1884.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"Grove of Olive Trees in Bordighera",grove-of-olive-trees-in-bordighera,https://www.wikiart.org/en/claude-monet/grove-of-olive-trees-in-bordighera,https://uploads2.wikiart.org/images/claude-monet/grove-of-olive-trees-in-bordighera.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"Palm Tree at Bordighera",palm-tree-at-bordighera,https://www.wikiart.org/en/claude-monet/palm-tree-at-bordighera,https://uploads2.wikiart.org/images/claude-monet/palm-tree-at-bordighera.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"Palm Trees at Bordighera",palm-trees-at-bordighera,https://www.wikiart.org/en/claude-monet/palm-trees-at-bordighera,https://uploads2.wikiart.org/images/claude-monet/palm-trees-at-bordighera.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"Small Country Farm in Bordighera",small-country-farm-in-bordighera,https://www.wikiart.org/en/claude-monet/small-country-farm-in-bordighera,https://uploads2.wikiart.org/images/claude-monet/small-country-farm-in-bordighera.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"Strada Romada in Bordighera",strada-romada-in-bordighera,https://www.wikiart.org/en/claude-monet/strada-romada-in-bordighera,https://uploads2.wikiart.org/images/claude-monet/strada-romada-in-bordighera.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"The Moreno Garden at Bordighera",the-moreno-garden-at-bordighera,https://www.wikiart.org/en/claude-monet/the-moreno-garden-at-bordighera,https://uploads2.wikiart.org/images/claude-monet/the-moreno-garden-at-bordighera.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"The Valley of Sasso, Bordighera",the-valley-of-sasso-bordighera,https://www.wikiart.org/en/claude-monet/the-valley-of-sasso-bordighera,https://uploads2.wikiart.org/images/claude-monet/the-valley-of-sasso-bordighera.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"Valley Bouna near Bordighera",valley-bouna-near-bordighera,https://www.wikiart.org/en/claude-monet/valley-bouna-near-bordighera,https://uploads2.wikiart.org/images/claude-monet/valley-bouna-near-bordighera.jpg,"Art Institute of Chicago","Known location"
"Claude Monet",claude-monet,1926,"Villas at Bordighera",villas-at-bordighera-1884,https://www.wikiart.org/en/claude-monet/villas-at-bordighera-1884,https://uploads2.wikiart.org/images/claude-monet/villas-at-bordighera-1884.jpg,"Art Institute of Chicago","Known location"
