Artist Name,Artist Slug,Death Year,Artwork Title,Artwork Slug,WikiArt URL,Image URL,Museum Location,Notes
"Rembrandt van Rijn",rembrandt,1669,"The tribute money",the-tribute-money-1635,https://www.wikiart.org/en/rembrandt/the-tribute-money-1635,https://uploads2.wikiart.org/images/rembrandt/the-tribute-money-1635.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"The tribute money",the-tribute-money-1635-1,https://www.wikiart.org/en/rembrandt/the-tribute-money-1635-1,https://uploads2.wikiart.org/images/rembrandt/the-tribute-money-1635-1.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"A Study for The Great Jewish Bride",a-study-for-the-great-jewish-bride,https://www.wikiart.org/en/rembrandt/a-study-for-the-great-jewish-bride,https://uploads2.wikiart.org/images/rembrandt/a-study-for-the-great-jewish-bride.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"A Woman with a Child Frightened by a Dog",a-woman-with-a-child-frightened-by-a-dog-1636,https://www.wikiart.org/en/rembrandt/a-woman-with-a-child-frightened-by-a-dog-1636,https://uploads2.wikiart.org/images/rembrandt/a-woman-with-a-child-frightened-by-a-dog-1636.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"The return of the prodigal son",the-return-of-the-prodigal-son-1636,https://www.wikiart.org/en/rembrandt/the-return-of-the-prodigal-son-1636,https://uploads2.wikiart.org/images/rembrandt/the-return-of-the-prodigal-son-1636.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Adam and Eva",adam-and-eva-1638,https://www.wikiart.org/en/rembrandt/adam-and-eva-1638,https://uploads2.wikiart.org/images/rembrandt/adam-and-eva-1638.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Christ and St. Mary Magdalene at the Tomb",christ-and-st-mary-magdalene-at-the-tomb-1638,https://www.wikiart.org/en/rembrandt/christ-and-st-mary-magdalene-at-the-tomb-1638,https://uploads2.wikiart.org/images/rembrandt/christ-and-st-mary-magdalene-at-the-tomb-1638.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Adam and Eve",adam-and-eve,https://www.wikiart.org/en/rembrandt/adam-and-eve,https://uploads2.wikiart.org/images/rembrandt/adam-and-eve.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"Self-portrait leaning on a stone sill",self-portrait-leaning-on-a-stone-sill-1639,https://www.wikiart.org/en/rembrandt/self-portrait-leaning-on-a-stone-sill-1639,https://uploads2.wikiart.org/images/rembrandt/self-portrait-leaning-on-a-stone-sill-1639.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"Self-portrait with Bittern",self-portrait-with-bittern-1639,https://www.wikiart.org/en/rembrandt/self-portrait-with-bittern-1639,https://uploads2.wikiart.org/images/rembrandt/self-portrait-with-bittern-1639.jpg,"Metropolitan Museum of Art, New York","Met API"
"Rembrandt van Rijn",rembrandt,1669,"Old Man Shading His Eyes with His Hand",old-man,https://www.wikiart.org/en/rembrandt/old-man,https://uploads2.wikiart.org/images/rembrandt/old-man.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"Eliezer and Rebecca at the Well",eliezer-and-rebecca-at-the-well-1640,https://www.wikiart.org/en/rembrandt/eliezer-and-rebecca-at-the-well-1640,https://uploads2.wikiart.org/images/rembrandt/eliezer-and-rebecca-at-the-well-1640.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"The beheading of John the Baptist",the-beheading-of-john-the-baptist-1640,https://www.wikiart.org/en/rembrandt/the-beheading-of-john-the-baptist-1640,https://uploads2.wikiart.org/images/rembrandt/the-beheading-of-john-the-baptist-1640.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"A Man with a Crucifix and Chain",a-man-with-a-crucifix-and-chain-1641,https://www.wikiart.org/en/rembrandt/a-man-with-a-crucifix-and-chain-1641,https://uploads2.wikiart.org/images/rembrandt/a-man-with-a-crucifix-and-chain-1641.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Angel Departing from the Family of Tobias",angel-departing-from-the-family-of-tobias-1641,https://www.wikiart.org/en/rembrandt/angel-departing-from-the-family-of-tobias-1641,https://uploads2.wikiart.org/images/rembrandt/angel-departing-from-the-family-of-tobias-1641.jpg,"Art Institute of Chicago","AIC API"
"Rembrandt van Rijn",rembrandt,1669,"Saskia with a Red Flower",saskia-with-a-red-flower-1641,https://www.wikiart.org/en/rembrandt/saskia-with-a-red-flower-1641,https://uploads2.wikiart.org/images/rembrandt/saskia-with-a-red-flower-1641.jpg,"Hermitage, St. Petersburg","Wikipedia"
